,id,user_id,name,time
0,6168,89167,Viewed Subscription,2022-02-04
1,6086,51726,Viewed Subscription,2022-02-04
2,6170,89167,Viewed Subscription,2022-02-04
3,6263,78427,Viewed Subscription,2022-02-04
4,6268,78427,Viewed Subscription,2022-02-04
5,6314,91970,Viewed Subscription,2022-02-04
6,6555,78825,Viewed Subscription,2022-02-04
7,6564,78825,Viewed Subscription,2022-02-04
8,6577,78825,Viewed Subscription,2022-02-04
9,6561,91979,Viewed Subscription,2022-02-04
10,6702,91980,Viewed Subscription,2022-02-04
11,6873,91981,Viewed Subscription,2022-02-04
12,6987,32459,Viewed Subscription,2022-02-04
13,7079,50743,Viewed Subscription,2022-02-04
14,6995,32459,Viewed Subscription,2022-02-04
15,7113,84504,Viewed Subscription,2022-02-04
16,7200,54458,Viewed Subscription,2022-02-04
17,7371,91988,Viewed Subscription,2022-02-04
18,7507,60165,Viewed Subscription,2022-02-04
19,7464,91990,Viewed Subscription,2022-02-04
20,7466,91990,Viewed Subscription,2022-02-04
21,7720,91988,Viewed Subscription,2022-02-04
22,7744,91988,Viewed Subscription,2022-02-04
23,7746,91988,Viewed Subscription,2022-02-04
24,8050,91995,Viewed Subscription,2022-02-04
25,8234,91411,Viewed Subscription,2022-02-04
26,8219,91411,Viewed Subscription,2022-02-04
27,8276,72921,Viewed Subscription,2022-02-04
28,8638,71287,Viewed Subscription,2022-02-05
29,8766,92005,Viewed Subscription,2022-02-05
30,8889,92006,Viewed Subscription,2022-02-05
31,8903,68331,Viewed Subscription,2022-02-05
32,8930,68331,Viewed Subscription,2022-02-05
33,9143,53810,Viewed Subscription,2022-02-05
34,9270,92009,Viewed Subscription,2022-02-05
35,9280,92009,Viewed Subscription,2022-02-05
36,9287,92009,Viewed Subscription,2022-02-05
37,9399,92010,Viewed Subscription,2022-02-05
38,9407,92010,Viewed Subscription,2022-02-05
39,9513,63935,Viewed Subscription,2022-02-05
40,9530,63935,Viewed Subscription,2022-02-05
41,9611,26529,Viewed Subscription,2022-02-05
42,9619,26529,Viewed Subscription,2022-02-05
43,9621,26529,Viewed Subscription,2022-02-05
44,9682,91836,Viewed Subscription,2022-02-05
45,9694,61002,Viewed Subscription,2022-02-05
46,9700,61002,Viewed Subscription,2022-02-05
47,9716,68997,Viewed Subscription,2022-02-05
48,10097,72938,Viewed Subscription,2022-02-05
49,10112,72938,Viewed Subscription,2022-02-05
50,10106,72938,Viewed Subscription,2022-02-05
51,10110,72938,Viewed Subscription,2022-02-05
52,10328,85966,Viewed Subscription,2022-02-05
53,10390,91880,Viewed Subscription,2022-02-05
54,10616,81654,Viewed Subscription,2022-02-05
55,10582,92023,Viewed Subscription,2022-02-05
56,10663,60165,Viewed Subscription,2022-02-05
57,10771,90637,Viewed Subscription,2022-02-05
58,10785,92027,Viewed Subscription,2022-02-05
59,10902,86295,Viewed Subscription,2022-02-05
60,10916,91821,Viewed Subscription,2022-02-05
61,10922,91821,Viewed Subscription,2022-02-05
62,10927,91821,Viewed Subscription,2022-02-05
63,11005,85108,Viewed Subscription,2022-02-05
64,11055,90273,Viewed Subscription,2022-02-05
65,11062,67409,Viewed Subscription,2022-02-05
66,11161,91294,Viewed Subscription,2022-02-05
