,id,user_id,end_date,price,created_at,refund,target_customer
92,1024,8473,2019-09-29,100.0,2019-08-29,0,personal
93,1028,8484,2019-09-30,100.0,2019-08-30,0,personal
94,1032,7062,2019-09-30,9900.0,2019-08-31,0,personal
95,1038,8527,2019-10-01,100.0,2019-09-01,0,personal
96,1041,8560,2019-10-02,100.0,2019-09-02,0,personal
97,1042,8561,2019-10-02,100.0,2019-09-02,0,personal
98,1043,6241,2019-10-01,9900.0,2019-09-02,0,personal
99,1044,6209,2019-10-01,9900.0,2019-09-02,1.0,middleBiz
100,1045,7198,2019-10-01,9900.0,2019-09-02,0,personal
101,1046,7230,2019-10-01,9900.0,2019-09-02,0,personal
102,1047,7239,2019-10-01,9900.0,2019-09-02,0,personal
103,1048,8573,2019-10-02,100.0,2019-09-02,0,personal
104,1060,6235,2019-10-02,9900.0,2019-09-03,0,personal
105,1061,256,2019-10-02,9900.0,2019-09-03,0,personal
106,1062,8604,2019-10-03,100.0,2019-09-03,0,personal
107,1067,8626,2019-10-03,100.0,2019-09-03,0,personal
108,1076,8634,2019-10-04,19000.0,2019-09-04,1.0,smallBiz
109,1087,6279,2019-10-03,9900.0,2019-09-04,0,personal
110,1088,8202,2019-10-04,19000.0,2019-09-04,0,smallBiz
111,1089,8656,2019-10-04,100.0,2019-09-04,0,personal
112,1091,8407,2019-10-04,100.0,2019-09-04,0,personal
113,1094,8660,2019-10-04,100.0,2019-09-04,0,personal
114,1095,8659,2019-10-04,100.0,2019-09-04,0,personal
115,1097,8667,2019-10-04,100.0,2019-09-04,0,personal
116,1111,8634,2019-10-05,100.0,2019-09-05,0,personal
117,1113,8676,2019-10-05,100.0,2019-09-05,0,personal
118,1119,8692,2019-10-05,100.0,2019-09-05,0,personal
119,1121,8699,2019-10-05,100.0,2019-09-05,0,personal
120,1134,8722,2019-10-06,100.0,2019-09-06,0,personal
121,1138,7299,2019-10-06,9900.0,2019-09-07,0,personal
122,1139,7401,2019-10-06,9900.0,2019-09-07,0,personal
123,1140,7402,2019-10-06,9900.0,2019-09-07,0,personal
124,1141,7179,2019-10-06,9900.0,2019-09-07,0,personal
125,1142,6379,2019-10-06,9900.0,2019-09-07,0,personal
126,1143,8767,2019-10-07,100.0,2019-09-07,0,personal
127,1150,8779,2019-10-07,100.0,2019-09-07,0,personal
128,1153,8805,2019-10-08,100.0,2019-09-08,0,personal
129,1154,8806,2019-10-08,100.0,2019-09-08,0,personal
130,1162,8815,2019-10-08,100.0,2019-09-08,0,personal
131,1173,8830,2019-10-09,100.0,2019-09-09,0,personal
132,1179,7244,2019-10-09,100.0,2019-09-09,0,personal
133,1189,8840,2019-10-09,100.0,2019-09-09,0,personal
134,1195,8742,2019-10-10,100.0,2019-09-10,0,personal
135,1238,8831,2019-10-10,100.0,2019-09-10,0,personal
136,1240,7485,2019-10-09,49000.0,2019-09-10,1.0,smallBiz
137,1241,8775,2019-10-10,100.0,2019-09-10,0,personal
138,1260,7586,2019-10-10,9900.0,2019-09-11,0,personal
139,1267,8919,2019-10-12,100.0,2019-09-12,0,personal
140,1273,8926,2019-10-12,100.0,2019-09-12,0,personal
141,1274,3551,2019-10-11,9900.0,2019-09-12,0,personal
142,1275,8944,2019-10-12,100.0,2019-09-12,0,personal
143,1276,8961,2019-10-13,100.0,2019-09-13,0,personal
144,1287,8965,2019-10-13,100.0,2019-09-13,0,personal
145,1303,8991,2019-10-14,100.0,2019-09-14,0,personal
146,1320,6503,2019-10-13,9900.0,2019-09-14,0,personal
147,1321,7791,2019-10-14,9900.0,2019-09-15,0,personal
148,1322,9016,2019-10-15,100.0,2019-09-15,0,personal
149,1332,8494,2019-10-15,100.0,2019-09-15,0,personal
150,1336,7829,2019-10-15,9900.0,2019-09-16,0,personal
151,1337,7854,2019-10-15,9900.0,2019-09-16,1.0,middleBiz
152,1338,8758,2019-10-16,100.0,2019-09-16,0,personal
153,1346,9081,2019-10-17,100.0,2019-09-17,0,personal
154,1351,6704,2019-10-16,9900.0,2019-09-17,0,personal
155,1352,4709,2019-10-16,9900.0,2019-09-17,0,personal
156,1353,9096,2019-10-17,100.0,2019-09-17,0,personal
157,1363,6522,2019-10-17,100.0,2019-09-17,0,personal
158,1365,9118,2019-10-17,100.0,2019-09-17,0,personal
159,1374,6061,2019-10-17,100.0,2019-09-17,0,personal
160,1384,9086,2019-10-17,100.0,2019-09-17,0,personal
161,1408,9102,2019-10-18,100.0,2019-09-18,0,personal
162,1414,9151,2019-10-18,100.0,2019-09-18,0,personal
163,1415,9158,2019-10-18,100.0,2019-09-18,0,personal
164,1416,9164,2019-10-18,100.0,2019-09-18,0,personal
165,1418,9174,2019-10-18,100.0,2019-09-18,0,personal
166,1432,9200,2019-10-19,100.0,2019-09-19,0,personal
167,1460,9211,2019-10-19,100.0,2019-09-19,0,personal
168,1474,9241,2019-10-20,100.0,2019-09-20,0,personal
169,1475,9166,2019-10-20,100.0,2019-09-20,0,personal
170,1479,9273,2019-10-20,100.0,2019-09-20,0,personal
171,1480,9280,2019-10-21,100.0,2019-09-21,0,personal
172,1504,1417,2019-10-21,9900.0,2019-09-22,0,personal
173,1505,7960,2019-10-21,9900.0,2019-09-22,0,personal
174,1506,2830,2019-10-21,9900.0,2019-09-22,0,personal
175,1507,8113,2019-10-21,9900.0,2019-09-22,0,personal
176,1508,8106,2019-10-21,9900.0,2019-09-22,0,personal
177,1511,9320,2019-10-22,100.0,2019-09-22,0,personal
178,1517,9259,2019-10-23,100.0,2019-09-23,0,personal
179,1526,9346,2019-10-23,100.0,2019-09-23,0,personal
180,1532,9353,2019-10-23,100.0,2019-09-23,0,personal
181,1536,9355,2019-10-23,100.0,2019-09-23,0,personal
182,1542,9368,2019-10-23,100.0,2019-09-23,0,personal
183,1590,9415,2019-10-24,100.0,2019-09-24,0,personal
184,1591,9293,2019-10-24,100.0,2019-09-24,0,personal
185,1592,6869,2019-10-24,9900.0,2019-09-25,0,personal
186,1593,6770,2019-10-24,9900.0,2019-09-25,0,personal
187,1594,6975,2019-10-24,9900.0,2019-09-25,0,personal
188,1595,4484,2019-10-24,9900.0,2019-09-25,0,personal
189,1615,2290,2019-10-25,9900.0,2019-09-26,0,personal
190,1616,8314,2019-10-25,9900.0,2019-09-26,0,personal
191,1617,6083,2019-10-25,9900.0,2019-09-26,0,personal
194,1625,9481,2019-10-26,100.0,2019-09-26,0,personal
195,1629,9502,2019-10-27,19000.0,2019-09-27,0,smallBiz
196,1635,5950,2019-10-26,40000.0,2019-09-27,0,smallBiz
197,1636,7026,2019-10-26,9900.0,2019-09-27,0,personal
198,1637,8330,2019-10-26,9900.0,2019-09-27,0,personal
199,1639,8201,2019-10-27,100.0,2019-09-27,0,personal
200,1642,9515,2019-10-27,100.0,2019-09-27,0,personal
201,1654,9524,2019-10-27,100.0,2019-09-27,0,personal
202,1664,9529,2019-10-27,100.0,2019-09-27,0,personal
203,1681,6989,2019-10-27,9900.0,2019-09-28,0,personal
204,1682,8396,2019-10-27,9900.0,2019-09-28,0,personal
205,1683,9558,2019-10-28,100.0,2019-09-28,0,personal
206,1731,8426,2019-10-28,9900.0,2019-09-29,0,personal
207,1789,8960,2019-10-29,100.0,2019-09-29,0,personal
208,1802,9618,2019-10-29,100.0,2019-09-29,0,personal
209,1822,8473,2019-10-29,9900.0,2019-09-30,0,personal
210,1832,9640,2019-10-30,100.0,2019-09-30,0,personal
211,1847,8621,2019-10-30,100.0,2019-09-30,0,personal
212,1910,9599,2019-11-01,100.0,2019-10-01,0,personal
213,1916,9655,2019-11-01,100.0,2019-10-01,0,personal
214,1925,9699,2019-11-01,100.0,2019-10-01,0,personal
215,1942,6241,2019-11-01,9900.0,2019-10-02,0,personal
216,1943,7198,2019-11-01,9900.0,2019-10-02,0,personal
217,1944,7239,2019-11-01,9900.0,2019-10-02,0,personal
218,1995,9760,2019-11-02,100.0,2019-10-02,0,personal
219,1998,9761,2019-11-02,100.0,2019-10-02,0,personal
220,2005,9544,2019-11-03,100.0,2019-10-03,0,personal
221,2021,6235,2019-11-02,9900.0,2019-10-03,0,personal
222,2022,256,2019-11-02,9900.0,2019-10-03,0,personal
223,2023,8560,2019-11-02,9900.0,2019-10-03,0,personal
224,2024,8561,2019-11-02,9900.0,2019-10-03,0,personal
225,2025,8573,2019-11-02,9900.0,2019-10-03,0,personal
226,2026,9774,2019-11-03,100.0,2019-10-03,0,personal
227,2112,9784,2019-11-03,100.0,2019-10-03,0,personal
228,2123,9787,2019-11-03,100.0,2019-10-03,0,personal
229,2125,9785,2019-11-03,100.0,2019-10-03,0,personal
230,2132,9788,2019-11-03,100.0,2019-10-03,0,personal
231,2154,6279,2019-11-03,9900.0,2019-10-04,0,personal
232,2155,8604,2019-11-03,9900.0,2019-10-04,0,personal
233,2175,8202,2019-11-04,49000.0,2019-10-05,0,smallBiz
234,2176,8660,2019-11-04,9900.0,2019-10-05,0,personal
235,2177,8659,2019-11-04,9900.0,2019-10-05,0,personal
236,2178,8667,2019-11-04,9900.0,2019-10-05,0,personal
237,2183,9853,2019-11-05,100.0,2019-10-05,0,personal
238,2249,8676,2019-11-05,9900.0,2019-10-06,1.0,middleBiz
239,2250,8692,2019-11-05,9900.0,2019-10-06,0,personal
240,2251,8699,2019-11-05,9900.0,2019-10-06,0,personal
241,2254,9893,2019-11-06,100.0,2019-10-06,0,personal
242,2257,9896,2019-11-06,100.0,2019-10-06,0,personal
243,2286,9894,2019-11-06,100.0,2019-10-06,0,personal
244,2290,7299,2019-11-06,9900.0,2019-10-07,0,personal
245,2291,7401,2019-11-06,9900.0,2019-10-07,0,personal
246,2292,7402,2019-11-06,9900.0,2019-10-07,0,personal
247,2293,6379,2019-11-06,9900.0,2019-10-07,0,personal
248,2301,8676,2019-11-07,49000.0,2019-10-07,0,smallBiz
249,2333,8767,2019-11-07,9900.0,2019-10-08,0,personal
250,2344,9876,2019-11-08,100.0,2019-10-08,0,personal
251,2388,9986,2019-11-08,100.0,2019-10-08,0,personal
252,2392,9990,2019-11-08,100.0,2019-10-08,0,personal
253,2466,10013,2019-11-09,100.0,2019-10-09,0,personal
254,2472,10022,2019-11-09,100.0,2019-10-09,0,personal
