,user_id,period_sub,total_fee,refund,personal,smallBiz,middleBiz,bigBiz,sign_in_count,period_use,sfx_free,sfx_peid,song_free,song_peid,etc,kids,vlog,story,beauty,review,talk,game,pet,eating,drone,corporate,freelancer,individual,student,unknown
1961,52699,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1962,52717,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1963,52735,71 days,19800.0,0.0,3,0,0,0,5.0,14 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1964,52743,631 days,207900.0,0.0,22,0,0,0,3.0,15 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1965,52784,14 days,0.0,0.0,1,0,0,0,3.0,17 days,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1966,52815,14 days,0.0,0.0,1,0,0,0,4.0,4 days,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1
1967,52816,14 days,0.0,0.0,1,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1968,52827,14 days,0.0,0.0,1,0,0,0,3.0,2 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1969,52835,71 days,19800.0,0.0,3,0,0,0,10.0,47 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1970,52865,14 days,0.0,0.0,1,0,0,0,4.0,140 days,4.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1971,52884,14 days,0.0,0.0,1,0,0,0,5.0,1 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1972,52885,713 days,314000.0,0.0,0,2,0,0,34.0,493 days,3.0,7.0,23.0,36.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1973,52888,365 days,83160.0,0.0,1,0,0,0,38.0,351 days,7.0,36.0,3.0,13.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1974,52894,7 days,0.0,0.0,1,0,0,0,3.0,144 days,10.0,17.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1975,52900,14 days,0.0,0.0,1,0,0,0,3.0,1 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1976,52908,14 days,0.0,0.0,1,0,0,0,3.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1977,52925,100 days,29700.0,0.0,4,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1978,52956,41 days,9900.0,1.0,2,0,0,0,10.0,16 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1979,52958,14 days,0.0,0.0,1,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1980,52966,14 days,0.0,0.0,1,0,0,0,9.0,22 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1981,52969,572 days,188100.0,0.0,20,0,0,0,7.0,563 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1982,52972,14 days,0.0,0.0,1,0,0,0,10.0,4 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1983,52975,71 days,19800.0,0.0,3,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1984,52990,103 days,29700.0,0.0,4,0,0,0,11.0,149 days,4.0,17.0,15.0,46.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1985,52991,156 days,44500.0,0.0,6,0,0,0,122.0,611 days,0.0,0.0,98.0,154.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
