,id,user_id,name,unsubscribed_at
0,518306,94164,Unsubscribe Request,2022-03-03
1,521380,93519,Unsubscribe Request,2022-03-03
2,525897,94148,Unsubscribe Request,2022-03-03
3,525919,94148,Unsubscribe Request,2022-03-03
4,531102,93551,Unsubscribe Request,2022-03-03
5,558131,94165,Unsubscribe Request,2022-03-04
6,558133,94165,Unsubscribe Request,2022-03-04
7,573066,94321,Unsubscribe Request,2022-03-05
8,577436,94276,Unsubscribe Request,2022-03-05
9,584272,94354,Unsubscribe Request,2022-03-06
10,589444,94374,Unsubscribe Request,2022-03-06
11,590619,94324,Unsubscribe Request,2022-03-06
12,594555,79753,Unsubscribe Request,2022-03-06
13,597057,66588,Unsubscribe Request,2022-03-06
14,598329,78641,Unsubscribe Request,2022-03-06
15,598335,78641,Unsubscribe Request,2022-03-06
16,598739,94405,Unsubscribe Request,2022-03-06
17,598741,94405,Unsubscribe Request,2022-03-06
18,598742,94405,Unsubscribe Request,2022-03-06
19,612186,94338,Unsubscribe Request,2022-03-07
20,612187,94338,Unsubscribe Request,2022-03-07
21,617076,94452,Unsubscribe Request,2022-03-07
22,617080,94452,Unsubscribe Request,2022-03-07
23,621197,78441,Unsubscribe Request,2022-03-07
24,625304,93798,Unsubscribe Request,2022-03-07
25,629195,94109,Unsubscribe Request,2022-03-07
26,635875,94029,Unsubscribe Request,2022-03-08
27,635881,94029,Unsubscribe Request,2022-03-08
28,637201,94504,Unsubscribe Request,2022-03-08
29,638810,63935,Unsubscribe Request,2022-03-08
30,638826,84673,Unsubscribe Request,2022-03-08
31,641060,94011,Unsubscribe Request,2022-03-08
32,643824,94088,Unsubscribe Request,2022-03-08
33,643898,60023,Unsubscribe Request,2022-03-08
34,645233,93538,Unsubscribe Request,2022-03-08
35,645597,94525,Unsubscribe Request,2022-03-08
36,647874,64006,Unsubscribe Request,2022-03-08
37,675959,94550,Unsubscribe Request,2022-03-09
38,679791,94223,Unsubscribe Request,2022-03-09
39,679794,94223,Unsubscribe Request,2022-03-09
40,679796,94223,Unsubscribe Request,2022-03-09
41,681897,94571,Unsubscribe Request,2022-03-09
42,681901,94571,Unsubscribe Request,2022-03-09
43,688366,62362,Unsubscribe Request,2022-03-10
44,689622,93193,Unsubscribe Request,2022-03-10
45,693665,53999,Unsubscribe Request,2022-03-10
46,710341,93487,Unsubscribe Request,2022-03-10
47,723227,93608,Unsubscribe Request,2022-03-11
48,730342,94771,Unsubscribe Request,2022-03-11
49,730343,94771,Unsubscribe Request,2022-03-11
50,733339,94778,Unsubscribe Request,2022-03-11
51,734010,60712,Unsubscribe Request,2022-03-11
52,749112,92521,Unsubscribe Request,2022-03-12
